Thu 2023-06-01 00:00:00; 69
Thu 2023-06-01 01:00:00; 47
Thu 2023-06-01 02:00:00; 81
Thu 2023-06-01 03:00:00; 41
Thu 2023-06-01 04:00:00; 86
Thu 2023-06-01 05:00:00; 76
Thu 2023-06-01 06:00:00; 56
Thu 2023-06-01 07:00:00; 61
Thu 2023-06-01 08:00:00; 38
Thu 2023-06-01 09:00:00; 56
Thu 2023-06-01 10:00:00; 55
Thu 2023-06-01 11:00:00; 46
Thu 2023-06-01 12:00:00; 63
Thu 2023-06-01 13:00:00; 92
Thu 2023-06-01 14:00:00; 47
Thu 2023-06-01 15:00:00; 36
Thu 2023-06-01 16:00:00; 50
Thu 2023-06-01 17:00:00; 63
Thu 2023-06-01 18:00:00; 69
Thu 2023-06-01 19:00:00; 75
Thu 2023-06-01 20:00:00; 61
Thu 2023-06-01 21:00:00; 50
Thu 2023-06-01 22:00:00; 60
Thu 2023-06-01 23:00:00; 38
