Mon 2023-03-06 00:00:00; 50
Mon 2023-03-06 01:00:00; 57
Mon 2023-03-06 02:00:00; 56
Mon 2023-03-06 03:00:00; 47
Mon 2023-03-06 04:00:00; 61
Mon 2023-03-06 05:00:00; 36
Mon 2023-03-06 06:00:00; 39
Mon 2023-03-06 07:00:00; 56
Mon 2023-03-06 08:00:00; 63
Mon 2023-03-06 09:00:00; 47
Mon 2023-03-06 10:00:00; 45
Mon 2023-03-06 11:00:00; 65
Mon 2023-03-06 12:00:00; 63
Mon 2023-03-06 13:00:00; 27
Mon 2023-03-06 14:00:00; 62
Mon 2023-03-06 15:00:00; 99
Mon 2023-03-06 16:00:00; 53
Mon 2023-03-06 17:00:00; 58
Mon 2023-03-06 18:00:00; 72
Mon 2023-03-06 19:00:00; 82
Mon 2023-03-06 20:00:00; 64
Mon 2023-03-06 21:00:00; 61
Mon 2023-03-06 22:00:00; 51
Mon 2023-03-06 23:00:00; 61
