Thu 2022-12-08 00:00:00; 51
Thu 2022-12-08 01:00:00; 68
Thu 2022-12-08 02:00:00; 66
Thu 2022-12-08 03:00:00; 81
Thu 2022-12-08 04:00:00; 73
Thu 2022-12-08 05:00:00; 83
Thu 2022-12-08 06:00:00; 75
Thu 2022-12-08 07:00:00; 66
Thu 2022-12-08 08:00:00; 14
Thu 2022-12-08 09:00:00; 52
Thu 2022-12-08 10:00:00; 79
Thu 2022-12-08 11:00:00; 51
Thu 2022-12-08 12:00:00; 69
Thu 2022-12-08 13:00:00; 72
Thu 2022-12-08 14:00:00; 47
Thu 2022-12-08 15:00:00; 55
Thu 2022-12-08 16:00:00; 52
Thu 2022-12-08 17:00:00; 25
Thu 2022-12-08 18:00:00; 56
Thu 2022-12-08 19:00:00; 49
Thu 2022-12-08 20:00:00; 64
Thu 2022-12-08 21:00:00; 63
Thu 2022-12-08 22:00:00; 70
Thu 2022-12-08 23:00:00; 52
