Sat 2023-03-25 00:00:00; 39
Sat 2023-03-25 01:00:00; 44
Sat 2023-03-25 02:00:00; 55
Sat 2023-03-25 03:00:00; 67
Sat 2023-03-25 04:00:00; 54
Sat 2023-03-25 05:00:00; 69
Sat 2023-03-25 06:00:00; 32
Sat 2023-03-25 07:00:00; 64
Sat 2023-03-25 08:00:00; 66
Sat 2023-03-25 09:00:00; 34
Sat 2023-03-25 10:00:00; 38
Sat 2023-03-25 11:00:00; 76
Sat 2023-03-25 12:00:00; 48
Sat 2023-03-25 13:00:00; 70
Sat 2023-03-25 14:00:00; 61
Sat 2023-03-25 15:00:00; 51
Sat 2023-03-25 16:00:00; 62
Sat 2023-03-25 17:00:00; 53
Sat 2023-03-25 18:00:00; 62
Sat 2023-03-25 19:00:00; 78
Sat 2023-03-25 20:00:00; 64
Sat 2023-03-25 21:00:00; 49
Sat 2023-03-25 22:00:00; 62
Sat 2023-03-25 23:00:00; 46
